dimensao,descricao_dimensao,nivel,descricao_nivel,versao,autor,timestamp_versao
Clareza e Objetividade,"Avalia se os critérios da rubrica são redigidos de forma clara, compreensível e objetiva.",1,"Critérios confusos, subjetivos ou vagos.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008242
Clareza e Objetividade,"Avalia se os critérios da rubrica são redigidos de forma clara, compreensível e objetiva.",2,Critérios parcialmente compreensíveis ou com termos genéricos.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008242
Clareza e Objetividade,"Avalia se os critérios da rubrica são redigidos de forma clara, compreensível e objetiva.",3,"Critérios claros, mas com possibilidade de múltiplas interpretações.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008242
Clareza e Objetividade,"Avalia se os critérios da rubrica são redigidos de forma clara, compreensível e objetiva.",4,"Critérios totalmente claros, objetivos e bem definidos.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008242
Coerência Pedagógica,Verifica se os critérios e os níveis da rubrica estão alinhados com os objetivos de aprendizagem.,1,Critérios desconectados dos objetivos de aprendizagem.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008250
Coerência Pedagógica,Verifica se os critérios e os níveis da rubrica estão alinhados com os objetivos de aprendizagem.,2,Parcialmente coerente com os objetivos propostos.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008250
Coerência Pedagógica,Verifica se os critérios e os níveis da rubrica estão alinhados com os objetivos de aprendizagem.,3,Critérios coerentes com os objetivos educacionais.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008250
Coerência Pedagógica,Verifica se os critérios e os níveis da rubrica estão alinhados com os objetivos de aprendizagem.,4,Totalmente alinhada com os objetivos pedagógicos e metodológicos.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008250
Aplicabilidade Prática,Considera se a rubrica pode ser facilmente aplicada por diferentes professores em diferentes contextos.,1,"De difícil aplicação, com critérios abstratos ou inconsistentes.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008256
Aplicabilidade Prática,Considera se a rubrica pode ser facilmente aplicada por diferentes professores em diferentes contextos.,2,"Aplicação parcial, com exemplos insuficientes ou genéricos.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008256
Aplicabilidade Prática,Considera se a rubrica pode ser facilmente aplicada por diferentes professores em diferentes contextos.,3,"Aplicável com apoio, exemplos ou formação prévia.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008256
Aplicabilidade Prática,Considera se a rubrica pode ser facilmente aplicada por diferentes professores em diferentes contextos.,4,"Aplicação fácil, imediata e adaptável.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008256
Abrangência e Equidade,"Avalia se a rubrica contempla diferentes estilos de aprendizagem, níveis cognitivos e inclusão.",1,Excludente ou limitada a um perfil específico de aluno.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008258
Abrangência e Equidade,"Avalia se a rubrica contempla diferentes estilos de aprendizagem, níveis cognitivos e inclusão.",2,"Abrangente apenas em alguns aspectos (ex: cognitivo, mas não afetivo).",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008258
Abrangência e Equidade,"Avalia se a rubrica contempla diferentes estilos de aprendizagem, níveis cognitivos e inclusão.",3,Contempla diversidade de estilos e ritmos com ressalvas.,v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008258
Abrangência e Equidade,"Avalia se a rubrica contempla diferentes estilos de aprendizagem, níveis cognitivos e inclusão.",4,"Abrangente, equitativa e promotora de inclusão.",v1,Professor Dr. Bruno Pereira Garcês,2025-05-21T15:09:01.008258
